operator_id,chamadas,chamadas_perdidas,duracao_total_media,duracao_media,chamadas_inbound,perdidas_inbound,duracao_total_media_in,duracao_media_in,chamadas_outbound,duracao_media_out,tempo_espera_medio,dias_ativos,taxa_abandono_operador,%share_perdidas
879896,1131,50,761.1484375,650.4765625,60.0,0.0,273.0869565217391,246.17391304347825,1071.0,739.0380952380953,26.91304347826087,50,0.0,0.003222064699059157
879898,7974,100,1561.1553784860557,1111.0677290836654,118.0,0.0,138.4375,110.234375,7856.0,1453.5989304812833,28.203125,84,0.0,0.006444129398118314
880020,54,7,119.27272727272727,104.0909090909091,8.0,0.0,50.25,43.0,46.0,139.0,7.25,14,0.0,0.000451089057868282
880022,219,33,298.4078947368421,240.8421052631579,8.0,0.0,78.0,64.0,211.0,261.6470588235294,14.0,42,0.0,0.0021265627013790436
880026,2439,94,978.1111111111111,856.939393939394,25.0,0.0,93.78947368421052,85.89473684210526,2414.0,938.7821229050279,7.894736842105263,77,0.0,0.006057481634231215
880028,2906,91,956.858407079646,746.2654867256637,70.0,0.0,134.51111111111112,125.66666666666667,2836.0,900.5580110497237,8.844444444444445,78,0.0,0.005864157752287666
880240,49,8,316.85714285714283,275.92857142857144,0.0,0.0,0.0,0.0,49.0,275.92857142857144,,7,,0.0005155303518494652
881278,20,7,67.875,58.125,0.0,0.0,0.0,0.0,20.0,58.125,,5,,0.000451089057868282
882476,3,0,95.66666666666667,64.0,3.0,0.0,95.66666666666667,64.0,0.0,0.0,31.666666666666668,3,0.0,0.0
882478,4,1,50.333333333333336,22.666666666666668,3.0,0.0,72.0,34.0,1.0,0.0,38.0,1,0.0,6.444129398118315e-05
882680,109,3,174.02173913043478,136.91304347826087,109.0,3.0,174.02173913043478,136.91304347826087,0.0,0.0,37.108695652173914,40,0.027522935779816515,0.00019332388194354943
882684,1364,55,1550.1939393939394,1422.1757575757576,643.0,4.0,2844.326923076923,2652.596153846154,721.0,855.9646017699115,191.73076923076923,61,0.006220839813374806,0.0035442711689650727
882686,3931,88,1981.4177215189873,1689.5274261603377,837.0,5.0,2362.4084507042253,2192.4647887323945,3094.0,1474.4156626506024,169.94366197183098,80,0.007168458781362007,0.005670833870344116
882688,82,3,1047.909090909091,874.8181818181819,20.0,0.0,995.6666666666666,711.3333333333334,62.0,936.125,284.3333333333333,4,0.0,0.00019332388194354943
882690,1766,26,2649.942028985507,2058.942028985507,176.0,2.0,923.9583333333334,624.125,1590.0,2824.177777777778,299.8333333333333,22,0.011363636363636364,0.0016754736435107616
883018,2,1,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1,,6.444129398118315e-05
883898,1,0,80.0,70.0,0.0,0.0,0.0,0.0,1.0,70.0,,1,,0.0
883940,694,20,805.5116279069767,510.13953488372096,8.0,0.0,74.0,59.714285714285715,686.0,597.7222222222222,14.285714285714286,16,0.0,0.001288825879623663
883942,2327,67,1098.929411764706,914.9941176470588,99.0,0.0,246.5952380952381,231.02380952380952,2228.0,1139.421875,15.571428571428571,57,0.0,0.0043175666967392706
884294,1,0,11.0,5.0,1.0,0.0,11.0,5.0,0.0,0.0,6.0,1,0.0,0.0
884402,4,1,95.66666666666667,71.33333333333333,0.0,0.0,0.0,0.0,4.0,71.33333333333333,,1,,6.444129398118315e-05
884406,6,2,39.5,4.0,0.0,0.0,0.0,0.0,6.0,4.0,,1,,0.0001288825879623663
884408,66,10,156.8148148148148,94.37037037037037,41.0,3.0,198.375,131.25,25.0,40.72727272727273,67.125,12,0.0975609756097561,0.0006444129398118315
884412,863,51,545.21875,409.125,20.0,0.0,153.72222222222223,108.16666666666667,843.0,458.3727272727273,45.55555555555556,62,0.0,0.0032865059930403404
884478,2361,44,949.5698924731183,549.0967741935484,25.0,0.0,113.14285714285714,88.5,2336.0,630.7215189873418,24.642857142857142,38,0.0,0.002835416935172058
884524,3,0,36.333333333333336,26.0,3.0,0.0,36.333333333333336,26.0,0.0,0.0,10.333333333333334,2,0.0,0.0
884946,2042,42,943.2173913043479,460.9130434782609,12.0,0.0,114.85714285714286,92.14285714285714,2030.0,491.2823529411765,22.714285714285715,40,0.0,0.002706534347209692
885682,3,3,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,3,,0.00019332388194354943
885876,66049,135,19436.7868338558,14620.545454545454,1152.0,21.0,773.5922330097087,671.6504854368932,64897.0,21272.10185185185,101.94174757281553,97,0.020833333333333332,0.008699574687459724
